,Train number,Delay in mins,ptr 0,ptr 1,ptr 2,ptr 3,ptr 4,ptr 5,ptr 6,ptr 7,ptr 8,ptr 9,ptr 10,ptr 11,ptr 12,ptr 13,ptr 14,ptr 15,ptr 16,ptr 17,ptr 18,ptr 19,ptr 20,ptr 21,ptr 22,ptr 23,ptr 24,ptr 25,ptr 26,ptr 27,ptr 28,ptr 29,ptr 30,ptr 31,ptr 32,ptr 33,ptr 34,ptr 35,ptr 36,ptr 37,ptr 38,ptr 39,ptr 40,ptr 41,ptr 42,ptr 43,ptr 44,ptr 45,ptr 46,ptr 47,ptr 48,ptr 49,ptr 50,ptr 51,ptr 52,ptr 53,ptr 54,ptr 55,ptr 56,ptr 57,ptr 58,ptr 59,ptr 60,ptr 61,ptr 62,ptr 63,ptr 64,ptr 65,ptr 66,ptr 67,ptr 68,ptr 69,ptr 70,ptr 71,ptr 72,ptr 73,ptr 74
0,11019,63,117,69,69.0,17.0,33.0,35.0,21.0,21.0,47.0,51.0,41.0,75.0,63.0,50.0,441.0,64.0,79.0,295.0,109.0,98.0,162.0,291.0,295.0,148.0,62.0,65.0,28.0,36.0,28.0,100.0,36.0,84.0,278.0,79.0,19.0,68.0,53.0,39.0,223.0,53.0,71.0,26.0,32.0,90.0,59.0,59.0,28.0,18.0,302.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,11020,30,13,16,30.0,2.0,40.0,6.0,16.0,-30.0,32.0,29.0,20.0,17.0,61.0,226.0,41.0,29.0,52.0,180.0,65.0,41.0,33.0,-5.0,41.0,16.0,30.0,48.0,50.0,106.0,11.0,50.0,14.0,36.0,53.0,12.0,2.0,40.0,17.0,48.0,27.0,16.0,33.0,30.0,55.0,20.0,21.0,34.0,31.0,12.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12025,5,4,1,9.0,-5.0,12.0,-1.0,21.0,1.0,5.0,-8.0,15.0,1.0,-3.0,6.0,18.0,20.0,9.0,0.0,1.0,9.0,12.0,7.0,10.0,3.0,7.0,15.0,2.0,6.0,15.0,45.0,9.0,5.0,7.0,11.0,1.0,18.0,-5.0,4.0,0.0,14.0,1.0,4.0,4.0,-4.0,6.0,-3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12026,5,7,0,3.0,13.0,16.0,1.0,37.0,29.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,16.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,13.0,5.0,9.0,8.0,24.0,5.0,11.0,3.0,10.0,14.0,12.0,5.0,5.0,12.0,0.0,0.0,17.0,1.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,12213,22,30,26,11.0,23.0,48.0,21.0,74.0,15.0,8.0,117.0,36.0,36.0,5.0,8.0,39.0,52.0,0.0,61.0,20.0,9.0,26.0,96.0,0.0,0.0,-2.0,5.0,2.0,0.0,39.0,13.0,24.0,12.0,11.0,13.0,27.0,10.0,164.0,21.0,32.0,24.0,80.0,41.0,59.0,48.0,70.0,20.0,15.0,20.0,53.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,12214,79,79,48,66.0,119.0,162.0,68.0,103.0,170.0,2.0,59.0,99.0,100.0,188.0,46.0,60.0,198.0,186.0,124.0,522.0,111.0,100.0,-47.0,54.0,-8.0,183.0,5.0,-577.0,-80.0,76.0,499.0,75.0,73.0,52.0,79.0,46.0,68.0,92.0,107.0,107.0,55.0,55.0,186.0,79.0,126.0,194.0,153.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12219,7,-7,-3,-11.0,46.0,48.0,42.0,28.0,28.0,112.0,10.0,-11.0,9.0,25.0,11.0,83.0,6.0,-27.0,58.0,64.0,-14.0,4.0,39.0,23.0,-6.0,28.0,-4.0,-9.0,78.0,-19.0,3.0,9.0,26.0,1.0,6.0,42.0,55.0,-39.0,-18.0,-27.0,-18.0,23.0,-12.0,2.0,11.0,26.0,-10.0,-8.0,15.0,-19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,12220,2,1,19,14.0,9.0,0.0,0.0,527180.0,83.0,2.0,16.0,12.0,0.0,15.0,0.0,0.0,1.0,12.0,9.0,17.0,16.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,7.0,0.0,39.0,0.0,0.0,77.0,6.0,0.0,19.0,14.0,40.0,0.0,18.0,0.0,15.0,0.0,0.0,3.0,11.0,2.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,12285,3,0,0,2.0,0.0,29.0,0.0,0.0,5.0,0.0,8.0,1.0,2.0,135.0,23.0,2.0,0.0,0.0,1.0,2.0,9.0,12.0,7.0,9.0,13.0,1.0,4.0,0.0,9.0,9.0,11.0,0.0,0.0,364.0,1.0,0.0,3.0,1.0,0.0,22.0,12.0,9.0,0.0,0.0,6.0,10.0,11.0,14.0,22.0,3.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,12286,60,181,24,107.0,62.0,159.0,228.0,73.0,-2.0,-10.0,-3.0,164.0,-28.0,60.0,118.0,-28.0,-9.0,123.0,7.0,110.0,2.0,19.0,-17.0,45.0,30.0,16.0,1.0,71.0,199.0,227.0,11.0,359.0,147.0,1130.0,-12.0,215.0,148.0,409.0,87.0,480.0,1698.0,-75.0,21.0,-3.0,619.0,372.0,3.0,119.0,46.0,0.0,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,12437,7,14,1,1.0,1.0,1.0,16.0,17.0,31.0,7.0,9.0,3.0,9.0,3.0,0.0,3.0,10.0,0.0,1.0,19.0,0.0,9.0,9.0,1.0,26.0,10.0,10.0,13.0,14.0,11.0,0.0,18.0,11.0,11.0,2.0,12.0,7.0,6.0,4.0,15.0,1.0,2.0,4.0,14.0,11.0,2.0,7.0,6.0,3.0,2.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,12438,1,14,17,3.0,21.0,13.0,53.0,24.0,-22.0,44.0,2.0,-7.0,-1.0,-15.0,290.0,-1.0,-21.0,-6.0,-8.0,183.0,-1.0,-13.0,9.0,27.0,-2.0,10.0,8.0,-14.0,8.0,14.0,9.0,0.0,-7.0,0.0,-13.0,32.0,41.0,-6.0,-25.0,46.0,-15.0,-9.0,0.0,-27.0,-19.0,44.0,30.0,-30.0,18.0,-21.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,12513,0,0,359,0.0,0.0,0.0,33.0,31.0,34.0,0.0,0.0,21.0,0.0,127.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,46.0,41.0,16.0,7.0,1.0,13.0,3.0,7.0,9.0,4.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,12514,42,57,358,489.0,604.0,76.0,30.0,-15.0,242.0,90.0,42.0,160.0,99.0,194.0,216.0,-32.0,101.0,103.0,-9.0,7.0,271.0,294.0,88.0,9.0,42.0,-9.0,153.0,-4.0,-29.0,70.0,-3.0,145.0,161.0,-18.0,-25.0,-9.0,-39.0,-5.0,-10.0,397.0,429.0,80.0,-10.0,107.0,-8.0,-10.0,-27.0,19.0,0.0,0.0,0.0,0.0,0.0,148.0,,,,,,,,,,,,,,,,,,,,,,
14,12589,7,47,22,146.0,50.0,23.0,7.0,18.0,164.0,30.0,320.0,-3.0,104.0,119.0,55.0,5.0,24.0,44.0,299.0,244.0,239.0,39.0,39.0,172.0,325.0,8.0,55.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,12590,3,26,9,0.0,11.0,0.0,8.0,2.0,0.0,43.0,73.0,49.0,23.0,2.0,25.0,3.0,19.0,14.0,8.0,5.0,256.0,12.0,3.0,3.0,27.0,3.0,3.0,3.0,2.0,9.0,2.0,267.0,722.0,1109.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,12591,83,725,38,37.0,127.0,74.0,22.0,82.0,24.0,68.0,375.0,52.0,192.0,106.0,305.0,241.0,201.0,54.0,13.0,59.0,120.0,850.0,142.0,144.0,17.0,59.0,192.0,50.0,194.0,255.0,13.0,126.0,85.0,38.0,142.0,108.0,122.0,120.0,17.0,11.0,29.0,42.0,81.0,1052.0,-1.0,13.0,-16.0,766.0,226.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,12592,0,-4,54,-4.0,74.0,79.0,101.0,119.0,66.0,591.0,61.0,108.0,68.0,80.0,116.0,71.0,30.0,53.0,85.0,55.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12603,23,-10,11,1.0,17.0,41.0,7.0,17.0,2.0,32.0,-21.0,92.0,64.0,11.0,10.0,7.0,40.0,5.0,37.0,33.0,39.0,9.0,14.0,23.0,39.0,-8.0,48.0,-4.0,12.0,26.0,3.0,42.0,38.0,16.0,25.0,3.0,39.0,35.0,6.0,-6.0,23.0,33.0,33.0,43.0,30.0,18.0,28.0,64.0,10.0,44.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,12604,9,4,10,-7.0,22.0,-2.0,8.0,3.0,12.0,12.0,20.0,0.0,14.0,21.0,11.0,-5.0,9.0,12.0,8.0,3.0,13.0,-6.0,14.0,11.0,10.0,5.0,8.0,33.0,18.0,17.0,7.0,6.0,0.0,8.0,11.0,8.0,22.0,6.0,9.0,8.0,12.0,25.0,12.0,75.0,4.0,19.0,7.0,22.0,9.0,5.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,12703,0,64,-19,-17.0,-34.0,-11.0,-29.0,-7.0,61.0,17.0,-21.0,-9.0,143.0,-9.0,5.0,-24.0,-20.0,-8.0,219.0,29.0,-13.0,53.0,-12.0,127.0,-7.0,-10.0,-10.0,-10.0,45.0,9.0,223.0,-3.0,176.0,44.0,-1.0,44.0,-3.0,-6.0,-22.0,-10.0,-8.0,26.0,-4.0,1.0,24.0,4.0,-16.0,-10.0,17.0,104.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,12704,5,6,4,7.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,1.0,5.0,1.0,0.0,6.0,14.0,2.0,6.0,4.0,18.0,10.0,38.0,0.0,0.0,6.0,1.0,10.0,5.0,1.0,0.0,8.0,20.0,7.0,9.0,2.0,5.0,10.0,8.0,6.0,10.0,8.0,1.0,17.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,12705,83,-1,107,0.0,-3.0,8.0,83.0,45.0,106.0,15.0,52.0,121.0,114.0,17.0,116.0,32.0,85.0,127.0,101.0,89.0,59.0,132.0,179.0,107.0,130.0,94.0,137.0,107.0,225.0,67.0,-16.0,15.0,47.0,83.0,43.0,84.0,123.0,106.0,125.0,73.0,98.0,89.0,106.0,38.0,38.0,33.0,40.0,28.0,59.0,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,12706,6,1,0,11.0,69.0,9.0,6.0,4.0,0.0,8.0,12.0,9.0,0.0,3.0,11.0,0.0,6.0,2.0,23.0,1.0,4.0,14.0,1.0,2.0,6.0,0.0,3.0,16.0,1.0,3.0,0.0,29.0,1.0,0.0,7.0,13.0,11.0,14.0,41.0,6.0,7.0,26.0,3.0,1.0,6.0,1.0,18.0,8.0,10.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,
